id,main_speaker,main_speaker_description
1357,Floyd E. Romesberg,"Floyd E. Romesberg is an American biotechnologist, biochemist, and geneticist formerly at Scripps Research in San Diego, California."
1358,France Villarta,"Logroño (UK: , US: , Spanish: [loˈɣɾoɲo] (listen)) is the capital of the province of La Rioja and situated in northern Spain."
1359,Frances Frei,Frances Frei is a Professor of Technology and Operations Management at Harvard Business School.
1360,Frances Larson,"A public execution is a form of capital punishment which ""members of the general public may voluntarily attend."" This definition excludes the presence of a small number of witnesses randomly selected to assure executive accountability."
1361,Francesca Simon-Carboni,Ettore Sottsass (14 September 1917 – 31 December 2007) was an Italian architect and designer during the 20th century.
1362,Francesco Sauro,Nazario Sauro (20 September 1880 – 10 August 1916) was an Austrian-born Italian irredentist and sailor.
1363,Francis Collins,"Francis Sellers Collins  (born April 14, 1950) is an American physician-geneticist who discovered the genes associated with a number of diseases and led the Human Genome Project."
1364,Francis de los Reyes,"François Reyes (born 9 June 1954), better known as Canut Reyes, is a French guitarist of Spanish Gitano descent, singer, songwriter and painter, best known for being part of the group The Gipsy Kings."
1365,Francisco Díez-Buzo,José María Hinojosa Lasarte (17 September 1904 – 22 August 1936) was a Spanish writer and political militant.
1366,Francisco Samper,Ernesto Samper Pizano (born 3 August 1950) is a Colombian politician.
1367,Franco Sacchi,"Franco Sacchi, is an Italian filmmaker and editor."
1368,Frank Gehry,
1369,Frank Müller-Pierstorff,
1370,Frank Warren,Frank Warren (born February 1952) is an English boxing manager and promoter.
1371,Franklin Leonard,"Franklin Leonard is an American film executive best known for founding The Black List, a yearly publication featuring Hollywood's most popular unproduced screenplays."
1372,Frans Lanting,"Frans Lanting (born 13 July 1951) is a Dutch National Geographic photographer, author and speaker."
1373,Frans de Waal,"Franciscus Bernardus Maria ""Frans"" de Waal (born October 29, 1948) is a Dutch primatologist and ethologist."
1374,Frans von der Dunk,"The Artemis Accords are an international agreement between governments participating in the Artemis Program, an American-led effort to return humans to the Moon by 2024, and to ultimately expand and deepen space exploration.Drafted under the auspices of the American space agency, NASA, the Accords establish a framework for cooperation in the civil exploration and peaceful use of the Moon, Mars, and other astronomical objects."
1375,Franz Freudenthal,"Franz P. Freudenthal is a Bolivian physician who is known for several medical inventions, including a device that can cure heart ailments in children."
1376,François Candelon,Racing Club de Narbonne Méditerannée (also known as RCNM) is a French rugby union club that play in the third-level Nationale.
1377,Françoise Mouly,"Françoise Mouly (French: [muli]; born 24 October 1955) is a Paris-born New York-based designer, editor, and publisher."
1378,Fred Jansen,"The 'Pink Pearl' apple is a pink-fleshed apple cultivar developed in 1944 by Albert Etter, a northern California breeder."
1379,Fred Krupp,"Fred Krupp is the president of Environmental Defense Fund, a United States-based nonprofit environmental advocacy group."
1380,Fred Swaniker,Fred Swaniker (born 1976) is a Ghanaian entrepreneur and leadership development expert.
1381,Frederic Kaplan,"A digital pet (also known as a virtual pet, artificial pet, or pet-raising simulation) is a type of artificial human companion."
1382,Frederick Balagadde,"Matugga–Kapeeka Road is a road in central Uganda, connecting the towns of Matugga in Wakiso District and Kapeeka in Nakaseke District."
1383,Frederick Streeter Barrett,"Elizabeth Christ Trump (born Elisabeth Christ German pronunciation: [e:li:zabɛt maʁi: kʁɪst]; October 10, 1880 – June 6, 1966) was a German businesswoman and is considered the matriarch of the Trump family."
1384,Fredros Okumu,"Fredros Okumu is a Kenyan parasitologist and entomologist, who currently works as director of science at the Ifakara Health Institute (IHI) in Tanzania."
1385,Fredy Peccerelli,"Fredy Peccerelli (born 1971), a forensic anthropologist, is the Director and one of the founding members of the Guatemalan Forensic Anthropology Foundation in Guatemala City, a nongovernmental organization that exhumes mass graves of victims of Guatemala's civil war."
1386,Freeman Dyson,"Freeman John Dyson  (15 December 1923 – 28 February 2020) was a British-American theoretical and mathematical physicist, mathematician, and statistician known for his works in quantum field theory, astrophysics, random matrices, mathematical formulation of quantum mechanics, condensed matter physics, nuclear physics, and engineering."
1387,Freeman Hrabowski,"Freeman Alphonsa Hrabowski III (born August 13, 1950) is an American educator, advocate, and mathematician."
1388,G. Willow Wilson,"Gwendolyn Willow Wilson (born August 31, 1982), known professionally as G. Willow Wilson, is an American comics writer, prose author, essayist, and journalist."
1389,G.T. Bynum,"George Theron Bynum IV (born August 28, 1977) is an American politician and lobbyist from the state of Oklahoma."
1390,Gabby Giffords and Mark Kelly,"Mark Edward Kelly (born February 21, 1964) is an American politician, businessman, former astronaut and retired U.S. Navy captain serving as the junior United States Senator from Arizona since 2020."
1391,Gabby Rivera,
1392,Gabe Barcia-Colombo,"Gabriel Barcia-Colombo is an American video artist, best known for creating living video installation pieces of ""miniature people"" encased inside ordinary objects such as suitcases and blenders."
1393,Gabe Zichermann,"Gabe Zichermann (born May 20, 1974) is a Canadian-American author, public speaker, and businessman."
1394,Gabriel Barcia-Colombo,"Gabriel Barcia-Colombo is an American video artist, best known for creating living video installation pieces of ""miniature people"" encased inside ordinary objects such as suitcases and blenders."
1395,Gabriel Heras,"María de los Ángeles de las Heras Ortiz (4 October 1944 – 25 March 2006), better known professionally as Rocío Dúrcal (Spanish pronunciation: [roˈθi.o ˈðuɾkal]), was a Spanish singer and actress."
1396,Gabriel Prieto,"The Fifteen Martyrs of Bicol (Spanish: Quince Martires del Bicolandia) were Filipino patriots in Bicol, Philippines who were executed by firing squad on January 4, 1897, for cooperating with the Katipunan during the Philippine Revolution against Spain."
1397,Gabriela González,"Gabriela Ines González, (born 24 February 1965) is a professor of physics and astronomy at the Louisiana State University and was the spokesperson for the LIGO Scientific Collaboration from March 2011 until March 2017."
1398,Gabriela Roa,Mañana es para siempre (English title: Tomorrow is forever) is a Mexican telenovela produced by Nicandro Díaz González for Televisa in 2008.
1399,Gaby Barrios,
1400,Gail Reed,"Gail A. Reed-Barnett (born May 28, 1955) is a career school counselor and former Brooklyn elected official."
1401,Galit Ariel,Barangay Concepcion is one of the 80 barangays of San Pablo City.
1402,Ganesh Pai,Chicken Curry Law is a 2019 Indian Hindi-language drama film directed by Shekhar Sirrinn.
1403,Gangadhar Patil,
1404,Gareth Gaskell,
1405,Garik Israelian,"Garik Israelian (Armenian: Գարիկ Իսրայելյան, born 1963) is an Armenian-Spanish astrophysicist and scientist."
1406,Garrett Lisi,"Antony Garrett Lisi (born January 24, 1968), known as Garrett Lisi, is an American theoretical physicist."
1407,Garry Kasparov,"Garry Kimovich Kasparov (Russian: Гарри Кимович Каспаров, Russian pronunciation: [ˈɡarʲɪ ˈkʲiməvʲɪtɕ kɐˈsparəf], born Garik Kimovich Weinstein, Гарик Кимович Вайнштейн; 13 April 1963) is a Russian chess grandmaster, former World Chess Champion, writer, and political activist and commentator."
1408,Garth Lenz,"Wildlife Photographer of the Year is an annual international wildlife photography competition staged by the Natural History Museum in London, England."
1409,Garth Sundem,Here is a comprehensive listing of all of the episodes from the fourth season of American game show Wipeout.
1410,Gary Flake,"Gary William Flake (born 1966 or 1967) was most recently the CTO of Search at Salesforce.com, which bought and shuttered Clipboard, Inc., of which he was the founder and CEO. Background: Flake received his bachelor's degree in 1989 from Clemson University."
1411,Gary Greenberg,Gary Greenberg is an American author and comedian.
1412,Gary Haugen,"Gary A. Haugen (born 1963) is an American attorney who is the Founder, CEO, and former President of International Justice Mission, a global organization that protects the poor from violence throughout the developing world."
1413,Gary Kovacs,Gary Kovacs (born 1963 or 1964) is a San Francisco Bay Area technologist.
1414,Gary Lauder,
1415,Gary Liu,"The South China Morning Post (SCMP), with its Sunday edition, the Sunday Morning Post, is a Hong Kong-based English-language newspaper owned by Alibaba Group.Founded in 1903 by Tse Tsan-tai and Alfred Cunningham, it has remained Hong Kong's newspaper of record since British colonial rule.Editor-in-chief Tammy Tam succeeded Wang Xiangwei in 2016."
1416,Gary Niekerk,"The 40-meter or 7-MHz band is an amateur radio frequency band, spanning 7.000-7.300 MHz in ITU Region 2, and 7.000-7.200 MHz in Regions 1 & 3."
1417,Gary Slutkin,Cure Violence is a public health anti-violence program.
1418,Gary Vaynerchuk,"Gary Vaynerchuk (born Gennady Vaynerchuk; November 14, 1975; Belarusian: Генадзь Вайнярчук, Russian: Геннадий Вайнерчук) is a Belarusian-American entrepreneur, author, speaker, and Internet personality."
1419,Gary Wolf,
1420,Gaspard Koenig,"A think tank, or policy institute, is a research institute that performs research and advocacy concerning topics such as social policy, political strategy, economics, military, technology, and culture."
1421,Gastón Acurio,"Gastón Acurio Jaramillo  (born October 30, 1967) is a Peruvian chef and ambassador of Peruvian cuisine."
1422,Gautam Bhan,"Gautam Bhan is an LGBTQ+ rights activist in India as well as a researcher, writer and faculty member at the Indian Institute for Human Settlements."
1423,Gavin Pretor-Pinney,"Gavin Edmund Pretor-Pinney is a British author, known for his books The Cloudspotter's Guide and The Wavewatcher's Companion."
1424,Gavin Schmidt,"Gavin A. Schmidt is a climatologist, climate modeler and Director of the NASA Goddard Institute for Space Studies (GISS) in New York, and co-founder of the award-winning climate science blog RealClimate."
1425,Gayathri Vasudevan,Shakthi Vasudevan (born as Prashanth Vasudevan) is an Indian actor who has predominantly worked on Tamil-language films.
